Adi	KategoriIndex	BirimAgirligi	BirimFiyatı	StokMiktari
Chai 	1	10	18	39
Chang	1	24	19	17
AniseedSyrup	2	12 10 13
ChefAntonsCajunSeasoning	2  48 22 53
ChefAntonsGumboMix	2	36 	21.35	0
GrandmasBoysenberrySpread	2	12	25	120
UncleBobsOrganicDriedPears	5	12 	30	15
NorthwoodsCranberrySauce	2	12	40	6
MishiKobeNiku	4	18	97	29
Ikura	5	12 	31	31
QuesoCabrales	4	1 	21	22
QuesoManchegoLaPastora	4	10	38	86
Konbu	3	2 	6	24
Tofu	5	40	23.25	35
GenenShouyu	2 24 15.5	39
Pavlova	3	32	17.45	29
AliceMutton	5	20	39	0
CarnarvonTigers	5	16	62.5	42
TeatimeChocolateBiscuits	3	10 	9.2	25
SirRodneysMarmalade	3	30  81	40
SirRodneysScones	3	24 	10	3
GustafsKnäckebröd	5	24 	21	104
Tunnbröd	5	12	9	61
GuaranáFantástica	1	12	4.5	20
NuNuCaNußNougatCreme	3	20	14	76
